Survey month,Parameter,State and territory,Sex,Classification,Category,Full_time,Full_time_RSE,Part_time,Part_time_RSE,With paid leave entitlements,With paid leave entitlements_RSE,Without paid leave entitlements,Without paid leave entitlements_RSE,Total,Total_RSE,Sub_Category,ParentCategory
2014,Median weekly earnings,QLD,Persons,Relationship in household,Non-family member,1147.0,2.3,450.0,7.8,1100.0,2.8,600.0,11.0,1000.0,2.6,,Non-family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,   Lone person,1187.0,3.1,524.138,11.9,1181.876,3.2,600.0,12.8,1093.207,3.3,Lone person,Non-family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,   Not living alone,1090.581,3.6,400.0,6.4,1000.0,6.4,569.449,17.0,900.0,5.7,Not living alone,Non-family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,Relationship not determined,963.199,39.3,196.164,0.1,1150.814,19.4,475.253,39.5,907.053,15.1,,Relationship not determined
2014,Median weekly earnings,QLD,Males,Relationship in household,Family member,1332.095,1.7,383.438,9.5,1320.516,2.3,672.49,5.7,1180.681,1.3,,Family member
2014,Median weekly earnings,QLD,Males,Relationship in household,"   Husband, wife or partner",1454.327,2.2,640.3,5.3,1442.989,2.7,950.0,3.8,1347.147,2.3,"Husband, wife or partner",Family member
2014,Median weekly earnings,QLD,Males,Relationship in household,      With dependants,1500.0,3.5,671.311,9.3,1500.0,3.6,952.546,8.2,1500.0,3.2,With dependants,Family member
2014,Median weekly earnings,QLD,Males,Relationship in household,      Without dependants,1342.0,3.9,600.0,12.2,1319.899,3.4,947.55,4.7,1200.0,3.5,Without dependants,Family member
2014,Median weekly earnings,QLD,Males,Relationship in household,   Lone parent,1422.538,8.3,590.929,0.1,1425.0,10.4,750.525,0.1,1361.322,8.3,Lone parent,Family member
2014,Median weekly earnings,QLD,Males,Relationship in household,   Dependent student,644.347,64.6,123.401,10.3,313.371,54.0,120.0,12.0,145.55,9.7,Dependent student,Family member
2014,Median weekly earnings,QLD,Males,Relationship in household,   Non-dependent child,850.0,4.5,393.396,12.1,834.517,4.9,602.547,7.2,747.184,4.3,Non-dependent child,Family member
2014,Median weekly earnings,QLD,Males,Relationship in household,   Other related individual,1012.974,14.5,415.577,16.9,916.71,19.2,412.275,42.3,804.415,13.7,Other related individual,Family member
