ï»¿Year,Year ending,Local Government Area,postcode,suburb_name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,SAL_CODE21
2025,March,Hepburn,3363,Creswick,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,3,20672
2025,March,Hepburn,3363,Creswick,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,20672
2025,March,Hepburn,3363,Creswick,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,5,20672
2025,March,Hepburn,3363,Creswick,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,4,20672
2025,March,Hepburn,3363,Creswick,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,1,20672
2025,March,Hepburn,3363,Creswick,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,6,20672
2025,March,Hepburn,3363,Creswick,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,1,20672
2025,March,Hepburn,3363,Creswick North,B Property and deception offences,B10 Arson,B19 Other fire related offences,1,20673
2025,March,Hepburn,3363,Creswick North,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20673
2025,March,Hepburn,3363,Dean,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,20722
2025,March,Hepburn,3363,Dean,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,2,20722
2025,March,Hepburn,3363,Dean,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20722
2025,March,Hepburn,3363,Dean,B Property and deception offences,B40 Theft,B49 Other theft,3,20722
2025,March,Hepburn,3363,Dean,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,1,20722
2025,March,Hepburn,3363,Mount Beckworth,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,21773
2025,March,Hepburn,3364,Allendale,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,20029
2025,March,Hepburn,3364,Blampied,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,20259
2025,March,Hepburn,3364,Blampied,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,20259
2025,March,Hepburn,3364,Blampied,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,1,20259
2025,March,Hepburn,3364,Blampied,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20259
2025,March,Hepburn,3364,Blampied,B Property and deception offences,B40 Theft,B49 Other theft,1,20259
2025,March,Hepburn,3364,Blampied,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,1,20259
2025,March,Hepburn,3364,Blampied,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1,20259
2025,March,Hepburn,3364,Broomfield,B Property and deception offences,B20 Property damage,B21 Criminal damage,1,20354
2025,March,Hepburn,3364,Broomfield,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,20354
2025,March,Hepburn,3364,Broomfield,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,1,20354
