anzsco_code,occupation,industry,industry_code
222111,Commodities Traders,Wholesale Trade,F
222111,Commodities Traders,"Professional, Scientific and Technical Services",M
222111,Commodities Traders,"Agriculture, Forestry and Fishing",A
222112,Finance Brokers,Financial and Insurance Services,K
222113,Insurance Brokers,Financial and Insurance Services,K
222199,Other Financial Brokers,"Rental, Hiring and Real Estate Services",L
222199,Other Financial Brokers,Financial and Insurance Services,K
222211,Financial Market Dealers,Financial and Insurance Services,K
222212,Futures Traders,Financial and Insurance Services,K
222212,Futures Traders,"Professional, Scientific and Technical Services",M
222213,Stockbrokers,Financial and Insurance Services,K
222299,Other Financial Dealers,Financial and Insurance Services,K
222311,Financial Investment Advisers,Financial and Insurance Services,K
222311,Financial Investment Advisers,"Professional, Scientific and Technical Services",M
222312,Financial Investment Managers,Financial and Insurance Services,K
222312,Financial Investment Managers,"Rental, Hiring and Real Estate Services",L
222312,Financial Investment Managers,Public Administration and Safety,O
223111,Human Resource Advisers,Public Administration and Safety,O
223111,Human Resource Advisers,Health Care and Social Assistance,Q
223111,Human Resource Advisers,"Professional, Scientific and Technical Services",M
223112,Recruitment Consultants,Administrative and Support Services,N
223112,Recruitment Consultants,"Professional, Scientific and Technical Services",M
223112,Recruitment Consultants,Health Care and Social Assistance,Q
223113,Workplace Relations Advisers,Other Services,S
223113,Workplace Relations Advisers,Public Administration and Safety,O
223113,Workplace Relations Advisers,"Professional, Scientific and Technical Services",M
224111,Actuaries,Financial and Insurance Services,K
224111,Actuaries,"Professional, Scientific and Technical Services",M
224112,Mathematicians,Financial and Insurance Services,K
224112,Mathematicians,Education and Training,P
224112,Mathematicians,"Professional, Scientific and Technical Services",M
224113,Statisticians,"Professional, Scientific and Technical Services",M
224113,Statisticians,Education and Training,P
224113,Statisticians,Public Administration and Safety,O
224211,Archivists,Education and Training,P
224211,Archivists,Information Media and Telecommunications,J
224211,Archivists,Public Administration and Safety,O
224212,Gallery and Museum Curators,Arts and Recreation Services,R
224212,Gallery and Museum Curators,Public Administration and Safety,O
224212,Gallery and Museum Curators,Education and Training,P
224213,Health Information Managers,Health Care and Social Assistance,Q
224213,Health Information Managers,"Professional, Scientific and Technical Services",M
224213,Health Information Managers,Public Administration and Safety,O
224214,Records Managers,Public Administration and Safety,O
224214,Records Managers,"Professional, Scientific and Technical Services",M
224214,Records Managers,Health Care and Social Assistance,Q
224411,Intelligence Officers,Public Administration and Safety,O
224411,Intelligence Officers,"Professional, Scientific and Technical Services",M
224412,Policy Analysts,Public Administration and Safety,O
224412,Policy Analysts,Health Care and Social Assistance,Q
224412,Policy Analysts,"Professional, Scientific and Technical Services",M
224511,Land Economists,"Rental, Hiring and Real Estate Services",L
224511,Land Economists,Construction,E
224511,Land Economists,Public Administration and Safety,O
224512,Valuers,"Rental, Hiring and Real Estate Services",L
224512,Valuers,Public Administration and Safety,O
224512,Valuers,"Professional, Scientific and Technical Services",M
224711,Management Consultants,"Professional, Scientific and Technical Services",M
224711,Management Consultants,Financial and Insurance Services,K
224711,Management Consultants,Public Administration and Safety,O
224712,Organisation and Methods Analysts,Financial and Insurance Services,K
224712,Organisation and Methods Analysts,"Professional, Scientific and Technical Services",M
224712,Organisation and Methods Analysts,Public Administration and Safety,O
224911,Electorate Officers,Public Administration and Safety,O
224912,Liaison Officers,Public Administration and Safety,O
224912,Liaison Officers,Health Care and Social Assistance,Q
224912,Liaison Officers,Education and Training,P
224913,Migration Agents,"Professional, Scientific and Technical Services",M
224913,Migration Agents,Other Services,S
224914,Patents Examiners,Public Administration and Safety,O
224914,Patents Examiners,"Professional, Scientific and Technical Services",M
224999,Information and Organisation Professionals (not covered elsewhere),Public Administration and Safety,O
224999,Information and Organisation Professionals (not covered elsewhere),"Professional, Scientific and Technical Services",M
224999,Information and Organisation Professionals (not covered elsewhere),Financial and Insurance Services,K
225111,Advertising Specialists,"Professional, Scientific and Technical Services",M
225111,Advertising Specialists,Information Media and Telecommunications,J
225112,Market Research Analysts,"Professional, Scientific and Technical Services",M
225112,Market Research Analysts,Financial and Insurance Services,K
225112,Market Research Analysts,Retail Trade,G
225113,Marketing Specialists,"Professional, Scientific and Technical Services",M
225113,Marketing Specialists,Financial and Insurance Services,K
225113,Marketing Specialists,Retail Trade,G
225211,ICT Account Managers,"Professional, Scientific and Technical Services",M
225211,ICT Account Managers,Information Media and Telecommunications,J
225211,ICT Account Managers,Wholesale Trade,F
225212,ICT Business Development Managers,"Professional, Scientific and Technical Services",M
225212,ICT Business Development Managers,Information Media and Telecommunications,J
225212,ICT Business Development Managers,Wholesale Trade,F
225213,ICT Sales Representatives,"Professional, Scientific and Technical Services",M
225213,ICT Sales Representatives,Information Media and Telecommunications,J
