Survey month,State and territory,Leave entitlements,Industry,Classification,Category,Persons Weekly Earnings,Persons Weekly Earnings_RSE,Persons Hourly Earnings,Persons Hourly Earnings_RSE,Persons Employees 000,Persons Employees 000_RSE,Males Weekly Earnings,Males Weekly Earnings_RSE,Males Hourly Earnings,Males Hourly Earnings_RSE,Males Employees 000,Males Employees 000_RSE,Females Weekly Earnings,Females Weekly Earnings_RSE,Females Hourly Earnings,Females Hourly Earnings_RSE,Females Employees 000,Females Employees_RSE,Sub_Category,ParentCategory,Industry_Code
2014,Australia,Without leave entitlements,Public administration and safety,Mean earnings,Total,868.977,7.222,30.995,7.566,0,0,949.636,9.012,29.369,8.672,0,0,746.005,16.881,33.437,14.244,0,0,,Total,O
2014,Australia,Without leave entitlements,Education and training,Mean earnings,Full-time,1256.034,21.29,35.801,22.035,0,0,1291.371,26.46,34.381,26.867,0,0,1223.453,23.434,37.11,23.821,0,0,,Full-time,P
2014,Australia,Without leave entitlements,Education and training,Mean earnings,Part-time,473.106,8.855,39.674,7.639,0,0,435.535,16.69,41.372,15.643,0,0,489.721,10.46,38.92,9.761,0,0,,Part-time,P
2014,Australia,Without leave entitlements,Education and training,Mean earnings,Total,573.71,7.944,39.175,6.978,0,0,595.947,12.869,40.061,12.738,0,0,562.813,9.077,38.739,9.269,0,0,,Total,P
2014,Australia,Without leave entitlements,Health care and social assistance,Mean earnings,Full-time,1385.053,13.133,38.911,13.371,0,0,1962.893,23.234,51.121,22.532,0,0,1103.211,15.724,32.955,15.281,0,0,,Full-time,Q
2014,Australia,Without leave entitlements,Health care and social assistance,Mean earnings,Part-time,469.568,7.739,29.071,6.453,0,0,409.457,17.827,28.904,17.481,0,0,479.032,8.253,29.097,7.163,0,0,,Part-time,Q
2014,Australia,Without leave entitlements,Health care and social assistance,Mean earnings,Total,675.503,7.381,31.284,5.633,0,0,1048.85,18.663,38.048,14.872,0,0,594.008,7.423,29.808,5.827,0,0,,Total,Q
2014,Australia,Without leave entitlements,Arts and recreation services,Mean earnings,Full-time,1237.139,28.154,32.608,28.353,0,0,1368.644,43.429,36.887,43.764,0,0,1070.405,40.077,27.182,37.979,0,0,,Full-time,R
2014,Australia,Without leave entitlements,Arts and recreation services,Mean earnings,Part-time,306.698,12.9,30.126,25.81,0,0,286.066,20.648,23.455,18.19,0,0,321.987,13.696,35.069,35.903,0,0,,Part-time,R
2014,Australia,Without leave entitlements,Arts and recreation services,Mean earnings,Total,406.015,13.382,30.391,23.129,0,0,432.934,21.628,25.277,16.343,0,0,384.875,17.766,34.406,33.548,0,0,,Total,R
2014,Australia,Without leave entitlements,Other services,Mean earnings,Full-time,963.378,17.725,25.109,16.304,0,0,1037.228,25.541,27.074,23.281,0,0,833.632,28.405,21.657,28.236,0,0,,Full-time,S
2014,Australia,Without leave entitlements,Other services,Mean earnings,Part-time,387.582,12.939,24.34,11.245,0,0,347.947,21.825,23.628,21.186,0,0,400.835,14.501,24.578,11.271,0,0,,Part-time,S
2014,Australia,Without leave entitlements,Other services,Mean earnings,Total,538.794,10.651,24.542,9.646,0,0,675.536,19.132,25.266,15.512,0,0,464.47,12.425,24.148,10.119,0,0,,Total,S
2014,Australia,Without leave entitlements,Total,Mean earnings,Full-time,1236.344,3.676,30.794,3.989,0,0,1326.797,3.983,31.686,4.13,0,0,1025.516,5.655,28.715,6.05,0,0,,Full-time,T
2014,Australia,Without leave entitlements,Total,Mean earnings,Part-time,371.834,2.476,25.472,2.729,0,0,372.608,3.896,24.805,3.74,0,0,371.421,2.681,25.828,3.015,0,0,,Part-time,T
2014,Australia,Without leave entitlements,Total,Mean earnings,Total,627.79,2.42,27.048,2.287,0,0,809.851,3.312,27.96,2.753,0,0,477.545,2.492,26.296,2.652,0,0,,Total,T
2014,Australia,Total employees,"Agriculture, forestry and fishing",Mean earnings,Full-time,1117.853,11.46,26.342,11.739,0,0,1170.311,11.242,27.004,11.183,0,0,895.591,24.15,23.471,26.606,0,0,,Full-time,A
