_CODE_2021,Tot_P_P
22414,10578
22415,22
22416,0
22417,160
22418,38
22419,405
22420,30
22421,20
22422,17
22423,452
22424,245
22425,92
22426,1175
22427,39
22428,142
22429,194
22430,748
22431,600
22432,25
22433,325
22434,3
22435,0
22436,139
22437,54
22438,24
22439,46
22440,55
22441,908
22442,0
22443,7
22444,540
22445,15
22446,15
22447,524
22448,32
22449,26
22450,153
22451,56370
22452,103
22453,25
22454,85
22455,36
22456,69
22457,81
22458,416
22459,25
22460,56
22461,25
22462,328
22463,69
22464,59
22465,462
22466,281
22467,4955
22468,135
22469,130
22470,568
22471,1012
22472,76
22473,15419
22474,15174
22475,54
22476,2064
22477,23
22478,12
22479,2308
22480,75
22481,21
22482,44
22483,16966
22484,14098
22485,62
22486,206
22487,60
22488,2254
22489,72
22490,20
22491,8
22492,8
22493,110
22494,93
22495,4
22496,4497
22497,18
22498,243
22499,30
22500,131
22501,1046
22502,110
22503,22
22504,20234
22505,0
22506,1606
22507,133
22508,19005
22509,3066
22510,311
22511,475
22512,27
22513,70
22514,188
22515,0
22516,1250
22517,57
22518,90
22519,68
22520,23
22521,358
22522,63
22523,66
22524,3
22525,175
22526,547
22527,7
22528,1973
22529,5
22530,50
22531,229
22532,23
22533,319
22534,822
22535,110
22536,366
22537,818
22538,221
22539,0
22540,74
22541,88
22542,0
22543,1085
22544,713
22545,107
22546,1722
22547,12817
22548,509
22549,0
22550,3178
22551,18534
22552,51
22553,257
22554,49
22555,23
22556,3
22557,5
22558,46
22559,13
22560,4
22561,0
22562,83
22563,143
22564,37
22565,4349
22566,401
22567,305
22568,83
22569,26907
22570,1780
22571,553
22572,2116
22573,140
22574,90
22575,22
22576,69
22577,1382
22578,181
22579,162
22580,153
22581,87
22582,36305
22583,13
22584,357
22585,9
22586,6733
22587,449
22588,8
22589,30
22590,7
22591,33
22592,21
22593,85
22594,3449
22595,4
22596,893
22597,645
22598,523
22599,440
22600,157
22601,250
22602,198
22603,19
22604,16
22605,9
22606,25
22607,47
22608,173
22609,0
22610,17
22611,450
22612,215
22613,56
22614,3417
22615,120
22616,107
22617,415
22618,40
22619,29
22620,6818
22621,187
22622,45
22623,55
22624,184
22625,982
22626,904
22627,10993
22628,11954
22629,44
22630,50
22631,16
22632,65
22633,7030
22634,163
22635,936
22636,37
22637,32
22638,47
22639,420
22640,57
22641,0
22642,0
22643,52
22644,1061
22645,88
22646,44
22647,67
22648,43
22649,37
22650,677
22651,35
22652,0
22653,130
22654,5
22655,13
22656,227
